case,config,y_CH4_biogas,h_H2_to_CFR,dTmin_K,CO2_carbon_fixed_fraction,C_total_tpd,Q_H_min_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,boundary,power_source,aux_power_kW,H2_for_aux_tpd,H2_net_final_tpd,self_sufficient,bottoming_heat_source_650K_kW,bottoming_power_eta0.20_kW,aux_residual_eta0.20_kW,H2_net_final_with_bottoming_eta0.20_tpd,bottoming_power_eta0.25_kW,aux_residual_eta0.25_kW,H2_net_final_with_bottoming_eta0.25_tpd
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,30.0,0.9625301138167858,64.23430197116903,4622.553778896001,2.550625060225989,3.9171418223820362,-1.3665167621560474,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2280.34371175721,4.106261185637233,-5.47277794779328,False,4074.208496623253,814.8416993246506,1465.5020124325592,-4.005475968217079,1018.5521241558132,1261.7915876013967,-3.6386504733230285
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,20.0,0.9032413253041729,57.5550234782261,4288.927849896131,4.802755435542439,3.634427949915512,1.1683274856269268,excl. upgrading (submitted boundary),fuel cell 0.50,1392.8493164669785,2.006505617959633,-0.8381781323327062,False,3197.2309814347586,639.4461962869518,753.4031201800267,0.08299285871692419,799.3077453586897,593.5415711082888,0.3132856064793317
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,20.0,0.9032413253041729,57.5550234782261,4288.927849896131,4.802755435542439,3.634427949915512,1.1683274856269268,excl. upgrading (submitted boundary),H2 engine 0.40,1392.8493164669785,2.508132022449541,-1.3398045368226144,False,3197.2309814347586,639.4461962869518,753.4031201800267,-0.18834079801057624,799.3077453586897,593.5415711082888,0.09952513669243301
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,20.0,0.9032413253041729,57.5550234782261,4288.927849896131,4.802755435542439,3.634427949915512,1.1683274856269268,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2557.116182597586,3.6837207912570267,-2.5153933056301,False,3197.2309814347586,639.4461962869518,1917.6699863106342,-1.594222314580469,799.3077453586897,1757.8084372388962,-1.3639295668180615
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,20.0,0.9032413253041729,57.5550234782261,4288.927849896131,4.802755435542439,3.634427949915512,1.1683274856269268,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2557.116182597586,4.604650989071283,-3.436323503444356,False,3197.2309814347586,639.4461962869518,1917.6699863106342,-2.2848597646323183,799.3077453586897,1757.8084372388962,-1.9969938299293086
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,30.0,0.9032413253041729,57.5550234782261,4349.50060735354,4.802755435542439,3.6857571702734604,1.1169982652689785,excl. upgrading (submitted boundary),fuel cell 0.50,1392.8493164669785,2.006505617959633,-0.8895073526906545,False,3197.2309814347586,639.4461962869518,753.4031201800267,0.0316636383589759,799.3077453586897,593.5415711082888,0.2619563861213834
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,30.0,0.9032413253041729,57.5550234782261,4349.50060735354,4.802755435542439,3.6857571702734604,1.1169982652689785,excl. upgrading (submitted boundary),H2 engine 0.40,1392.8493164669785,2.508132022449541,-1.3911337571805626,False,3197.2309814347586,639.4461962869518,753.4031201800267,-0.23967001836852453,799.3077453586897,593.5415711082888,0.04819591633448472
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,30.0,0.9032413253041729,57.5550234782261,4349.50060735354,4.802755435542439,3.6857571702734604,1.1169982652689785,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2557.116182597586,3.6837207912570267,-2.566722525988048,False,3197.2309814347586,639.4461962869518,1917.6699863106342,-1.6455515349384173,799.3077453586897,1757.8084372388962,-1.4152587871760098
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,30.0,0.9032413253041729,57.5550234782261,4349.50060735354,4.802755435542439,3.6857571702734604,1.1169982652689785,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2557.116182597586,4.604650989071283,-3.4876527238023045,False,3197.2309814347586,639.4461962869518,1917.6699863106342,-2.3361889849902666,799.3077453586897,1757.8084372388962,-2.048323050287257
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,20.0,0.9481214692784142,58.648211192612344,4163.551402335632,4.432782518821553,3.5281842262571557,0.9045982925643976,excl. upgrading (submitted boundary),fuel cell 0.50,980.476735162334,1.412451479225451,-0.5078531866610534,False,3170.825900152088,634.1651800304176,346.3115551319164,0.40571009789657086,792.706475038022,187.77026012431202,0.634100919035977
