T_K,tau_s,P_bar,Y_CH4,X_COx,Y_Csolid,dy_Y_CH4_dk_meth,dy_Y_CH4_dEa_meth,dy_Y_CH4_dk_carb,dy_Y_CH4_dEa_carb,dy_Y_CH4_dk_crack,dy_Y_CH4_dEa_crack,dy_Y_CH4_dn,dy_X_COx_dk_meth,dy_X_COx_dEa_meth,dy_X_COx_dk_carb,dy_X_COx_dEa_carb,dy_X_COx_dk_crack,dy_X_COx_dEa_crack,dy_X_COx_dn,dy_Y_Csolid_dk_meth,dy_Y_Csolid_dEa_meth,dy_Y_Csolid_dk_carb,dy_Y_Csolid_dEa_carb,dy_Y_Csolid_dk_crack,dy_Y_Csolid_dEa_crack,dy_Y_Csolid_dn,wall_s
675.0,3.0,1.01325,0.00755735379402764,0.007557353794025223,0.0,0.0016547004173926181,0.0011339482883687647,0.006783391457948181,0.005113353441658832,-0.0009373864745503089,-0.0010278698435554033,0.0,0.0016547004174749524,0.0011339482883343521,0.006783391458059507,0.005113353441682511,-0.0009373864745032545,-0.0010278698435228772,0.0,0.0,-1.9102684970073857e-20,0.0,1.9102684970073857e-20,0.0,0.0,0.0,3.0654242038726807
675.0,3.0,5.0,0.26573985017761104,0.2657398501776116,0.0,0.06977243146198686,0.0478162655924555,0.03650096889643434,0.027514479020261662,-0.016696164454022,-0.018307832005515223,0.11135358146535712,0.0697724314619369,0.047816265592431906,0.036500968896430175,0.027514479020204763,-0.016696164454099716,-0.018307832005401425,0.11135358146533769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0041191577911377
675.0,10.0,1.01325,0.02475112572248911,0.02475112572248972,0.0,0.005254803525978676,0.003601069742636444,0.021904685016818116,0.01651190912485374,-0.0030250410973135626,-0.003317039616668096,0.0,0.005254803525975293,0.003601069742506513,0.02190468501681031,0.016511909124911073,-0.0030250410973070574,-0.003317039616665407,0.0,-7.641073988029541e-20,7.641073988029543e-20,0.0,0.0,0.0,0.0,0.0,2.9827988147735596
675.0,10.0,5.0,0.37466180955933,0.3746618095593307,0.0,0.04124444770180896,0.028265394171592132,0.0792993879934617,0.05977555349166163,-0.024643825990441903,-0.02702300157015336,0.06583380824211005,0.04124444770201019,0.02826539417165042,0.07929938799349501,0.059775553491547846,-0.024643825990627866,-0.02702300157012283,0.06583380824219387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9988739490509033
700.0,1.0,1.01325,0.005390760342663093,0.005390760342662837,0.0,0.0011280056184059372,0.0014909284508821251,0.005126642795656071,0.007454503556665257,-0.0008917832556147717,-0.0018867776235080439,0.0,0.0011280056183227138,0.0014909284508174414,0.005126642795685865,0.007454503556680869,-0.0008917832557103766,-0.0018867776235609313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.931166887283325
700.0,1.0,5.0,0.2324553660092668,0.2324553660092613,0.0,0.07715952559804451,0.10197832487566989,0.036017706769551905,0.05237290626680102,-0.020908916299795105,-0.044238549129985844,0.12313325896982918,0.07715952559798622,0.10197832487566227,0.03601770676961713,0.0523729062668149,-0.02090891629966396,-0.044238549129757554,0.1231332589698475,3.820536994014771e-20,0.0,0.0,0.0,0.0,-3.820536994014771e-20,0.0,2.8846802711486816
700.0,3.0,1.01325,0.016002417349773503,0.016002417349773257,0.0,0.003288964730031353,0.004347141542950569,0.015088440788142178,0.021939550693622287,-0.0026256021758212095,-0.0055550707786660575,0.0,0.0032889647300499147,0.004347141542965227,0.015088440788027513,0.021939550693633736,-0.0026256021758208625,-0.005555070778590077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.969693899154663
700.0,3.0,5.0,0.333808080409925,0.3338080804099245,0.0,0.05442500175960319,0.07193173606770548,0.06828360358260288,0.0992952572615613,-0.028741871137596964,-0.06082532658436974,0.08686793581927144,0.05442500175963649,0.07193173606773462,0.06828360358243912,0.09929525726178057,-0.028741871137807906,-0.06082532658430728,0.08686793581932806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.946086883544922
700.0,10.0,1.01325,0.051437358645400576,0.051437358645405884,0.0,0.009948437308378646,0.013149110044955066,0.04706064152081961,0.06842792150228635,-0.008203604841201806,-0.017356532429189248,0.0,0.009948437308338054,0.013149110045077017,0.047060641520801916,0.06842792150225097,-0.008203604841158785,-0.01735653242912749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9089529514312744
700.0,10.0,5.0,0.4646156722691348,0.46461567226912814,0.0,0.03137192713035114,0.04146304733566725,0.17512781215596462,0.2548427155293756,-0.0699145710855914,-0.14824201247252283,0.05006807854027129,0.0313719271303331,0.041463047335663084,0.17512781215592577,0.254842715529377,-0.06991457108561916,-0.14824201247252422,0.050068078540282945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9894351959228516
725.0,1.0,1.01325,0.011057293038949137,0.011057293038946314,0.0,0.0021901247219737255,0.004192936304307391,0.011225311955467138,0.023649565089979736,-0.002472754607657328,-0.0075843773311074815,0.0,0.0021901247219402453,0.004192936304325823,0.011225311955495587,0.023649565090028135,-0.0024727546077019102,-0.007584377331018577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4838757514953613
