parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack
"P3 (k_meth, Ea_meth, n)",4,700/750/800/825,24,12.109803281897758,607.4948287853122,0.737619826100729,0.19790554098964977,0.29235394486387994,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/775/800,24,12.092937368951809,411.0350297417428,0.661352033500909,0.1902663711522312,0.24197590064565067,,,,
"P3 (k_meth, Ea_meth, n)",4,700/750/800/850,24,12.076571350747002,532.7795651917841,0.7151289068272259,0.185248117223758,0.29215689166785413,,,,
"P3 (k_meth, Ea_meth, n)",4,700/750/825/850,24,12.020689387227009,651.7760761836001,0.7674994896654087,0.19400039772907898,0.31761606789649305,,,,
"P3 (k_meth, Ea_meth, n)",4,700/750/775/825,24,12.01110270400118,415.24854456374607,0.6714919673873408,0.18652819416983754,0.26149021406418527,,,,
"P3 (k_meth, Ea_meth, n)",4,700/750/775/850,24,11.954792734356129,354.89023019975326,0.6463166835435598,0.17205423443644985,0.262555869768127,,,,
"P3 (k_meth, Ea_meth, n)",4,675/800/825/850,24,11.91777695186937,1382.7972784836134,1.0050569201757231,0.2518262987948691,0.5199756750870506,,,,
"P3 (k_meth, Ea_meth, n)",4,700/750/775/800,24,11.899581953540547,380.29822681995853,0.6639797095949311,0.19260982117298306,0.2503666566404817,,,,
"P3 (k_meth, Ea_meth, n)",4,700/775/800/850,24,11.896109936200936,663.343563535149,0.7844516992673786,0.2041763674012738,0.3226621570232177,,,,
"P3 (k_meth, Ea_meth, n)",4,700/775/800/825,24,11.89167501290156,779.0031693904666,0.8215236028835136,0.22073098370976368,0.32857728426417393,,,,
"P3 (k_meth, Ea_meth, n)",4,650/675/700/725,24,11.879013126729877,450.51918826890443,0.6073556385545137,0.10275830983360741,0.3749081171079549,,,,
"P3 (k_meth, Ea_meth, n)",4,675/700/725/750,24,11.836537742926936,219.20873985622765,0.4706788040407235,0.14520988911737223,0.243513967469925,,,,
"P3 (k_meth, Ea_meth, n)",4,700/775/825/850,24,11.804492374946172,832.085984344835,0.8524257903868748,0.21690114725633114,0.3555213773848592,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/675/700,24,11.605273264298555,1570.3592243616777,1.1825959421432641,0.061498686277241074,0.7423078149911815,,,,
"P3 (k_meth, Ea_meth, n)",4,700/800/825/850,24,11.550181347283779,1524.061786598644,1.0593995480530403,0.26702295530682496,0.44559171803993886,,,,
"P3 (k_meth, Ea_meth, n)",4,600/650/675/700,24,11.501825748726834,1563.6628539690812,1.1597461948999295,0.066938988191526,0.7274638933766274,,,,
"P3 (k_meth, Ea_meth, n)",4,725/750/800/850,24,11.479613988782148,550.2371314306971,0.7555380096028254,0.20008663702067858,0.2408851620730305,,,,
"P3 (k_meth, Ea_meth, n)",4,725/750/825/850,24,11.475835138203973,635.1877406043797,0.7863668007421024,0.2025558734870655,0.25598131526187035,,,,
"P3 (k_meth, Ea_meth, n)",4,725/750/800/825,24,11.434843328351691,681.492234706818,0.8110122757748218,0.22183397479488792,0.24354926248364722,,,,
"P3 (k_meth, Ea_meth, n)",4,700/725/750/775,24,11.329675553115429,295.08983401434807,0.6163141600566452,0.21148859902493605,0.21203946503485624,,,,
"P3 (k_meth, Ea_meth, n)",4,725/750/775/850,24,11.307300582351592,385.3877716154534,0.7055569129942657,0.19399234415207378,0.22259410142996797,,,,
"P3 (k_meth, Ea_meth, n)",4,725/775/800/850,24,11.293377822480682,653.0291477944754,0.8096014774863809,0.21472035198750034,0.2546456786549206,,,,
"P3 (k_meth, Ea_meth, n)",4,600/625/650/700,24,11.281894561109599,1976.8552781055182,1.292539964009219,0.06721344375871167,0.8116370518678048,,,,
"P3 (k_meth, Ea_meth, n)",4,725/775/825/850,24,11.273077196367133,754.7318602135715,0.843451095281894,0.2180564163687829,0.2712651722751893,,,,
"P3 (k_meth, Ea_meth, n)",4,725/750/775/825,24,11.261875551813546,504.01361104327225,0.7722906755263893,0.22040090305803473,0.22415782953198357,,,,
"P3 (k_meth, Ea_meth, n)",4,725/775/800/825,24,11.208002973852482,834.8602279665381,0.8837107151174232,0.24141443207600422,0.2616603489545529,,,,
"P3 (k_meth, Ea_meth, n)",4,725/800/825/850,24,11.17747201843551,1147.43227649241,0.9535295603773253,0.24317545546022798,0.3080359660021396,,,,
"P3 (k_meth, Ea_meth, n)",4,625/650/675/700,24,11.107159044452061,1694.0563505704695,1.1563364014540478,0.08508372607464514,0.7247116109706064,,,,
"P3 (k_meth, Ea_meth, n)",4,725/750/775/800,24,11.023979874182862,522.6545742317882,0.8150441801592546,0.2441935864761969,0.21918380970651818,,,,
"P3 (k_meth, Ea_meth, n)",4,750/775/800/850,24,10.41539183908807,639.057402751198,0.830828134352181,0.22394277643644211,0.25296281771532086,,,,
"P3 (k_meth, Ea_meth, n)",4,750/775/825/850,24,10.376529449981252,714.524172100155,0.8492628715335098,0.22293176924648184,0.2681095611587024,,,,
"P3 (k_meth, Ea_meth, n)",4,750/775/800/825,24,10.264353292683685,879.3744892131186,0.9391285974360475,0.2600665161230257,0.25595488010343753,,,,
