stage,feed,parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/750/800/825,24,21.759473902929624,89805.99561864538,2.3136960862675457,0.31288852054396515,1.6047945045577536,0.294290764617439,0.07517682111041626,1.0876667621170328,0.19842357147679768,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/750/800/850,24,21.758952452172775,137048.77102281127,3.1318522848473105,0.6240164983752884,1.6879999874516018,0.22984488078978618,0.056325414863159506,0.5271401230280084,0.1133606850085456,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/750/800/850,24,21.750240364131123,86285.8397692808,2.3305378225400624,0.3524657517786306,1.6015942842928053,0.24195707856833307,0.05937110187330309,1.025247596360187,0.18667707366666722,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/725/750/800,24,21.747898098377206,52536.37213927068,2.4731420578117578,0.22901413651365501,1.5149276978773336,0.3383840241922667,0.09349274068308348,0.8030072579804264,0.16386446031846183,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/725/825/850,24,21.728165332162405,125848.86095140899,2.930852700565427,0.29225984924536536,1.742124162256066,0.44156774812176297,0.09802877303985488,1.092338765922338,0.17543882186390974,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/725/775/850,24,21.713585742693574,84653.2748321188,2.8850412635988887,0.6744451118529439,1.5102498641557833,0.23037296358628856,0.055802635660652064,0.4864407037775835,0.11707776670755983,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,675/700/775/850,24,21.707573132153055,113458.99544220344,3.300866706090948,0.5553072812097798,1.9265467764091393,0.24169974858585544,0.058333122970503304,0.5171429665602675,0.12157007675206319,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/700/725/800,24,21.705312529113712,46518.386056906915,2.475217754787744,0.3514006129997444,1.5904001235182097,0.4175326812800118,0.10874111940436679,0.6309723373684859,0.1479188100964097,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/775/800/850,24,21.686368215796,184139.6860116127,3.3727282572095003,0.6675523850371764,1.7669795316278314,0.24184517632639674,0.060209632679312605,0.5455962245209449,0.11818452820755433,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/725/825/850,24,21.66309714635856,96550.93183294496,2.5369170206435276,0.3176773025841941,1.5804237572331676,0.4240932107000417,0.0943061693149216,1.0717771690447122,0.1750116464614314,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,675/750/775/825,24,21.662239697248747,98660.2355742193,2.8095150530878334,0.3936714637392016,1.6972084777645944,0.2425454219805686,0.0644855230876206,0.7563828809086334,0.14959842201729967,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/675/750/825,24,21.66029678040681,85213.30789281653,3.073412349511403,0.22933519148587056,1.9450300781984042,0.2991775781604958,0.07463879813006082,0.8105449742127749,0.14895540746637018,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/750/775/850,24,21.649647280224848,115598.26008164199,3.196142666736995,0.6127822747126989,1.7826393614315548,0.2007789377511723,0.05106566893688156,0.530140220790978,0.12255265288688433,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/725/750/800,24,21.64373020519796,43591.045061441735,2.2233097095876175,0.33785354915666754,1.4326341846072603,0.32900713991907204,0.09104640099040133,0.7882529192216751,0.16156218864395291,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,700/725/825/850,24,21.63761155467386,144665.45011539815,3.256201347438806,0.6087974168600849,1.6505127526541887,0.3646482004924395,0.07988607582705809,0.5824008266862836,0.12146331830953294,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/675/750/825,24,21.635955746863253,62663.0505930758,2.613801705783218,0.33476662189692064,1.7094913378907053,0.29317308218332133,0.07316500646507149,0.7598677407923274,0.13986257243685757,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,650/700/775/800,24,21.63027507464028,71835.02197362046,2.5305804656197366,0.35991380340884704,1.6892834820363156,0.43940671438925627,0.12146785786457859,0.6333104455289922,0.1431764478589767,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,675/750/825/850,24,21.627677158064834,120387.57492682982,2.800507833870665,0.40502408480604346,1.6648396016255873,0.2602804008378815,0.06041923830149637,0.7909223365956317,0.13936163809090438,,,,
S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/750/825/850,24,21.62164658725101,120841.99911483734,2.720360584993132,0.23129940031079121,1.791549419854588,0.27061774878092715,0.06290135178230395,1.0760149436813773,0.18649659564996404,,,,
