 T3_K  phi  h_H2_to_CFR  r_CH4  purge_p  converged  iterations       method  C_total_tpd  C_from_CO2_total_tpd  C_from_CO2_total_tpd_mixing_tracer_upper  fresh_CO2_carbon_fixed_fraction  purge_carbon_tpd  H2_net_exportable_tpd  water_total_tpd  Q1_kW  Q2_kW  Q3_kW  S1_inlet_CH4_ratio_vs_fresh  S2_inlet_ratio_vs_once  closure_C_rel
  600  NaN            1   0.99     0.05       True         289       direct        47.39                 11.46                                     11.46                           0.9995          0.006531                  10.73            34.38   4122  -1795 -285.5                         1.36                   13.76     -1.268e-15
  600  NaN            1   0.99     0.02       True          93     wegstein         47.4                 11.46                                     11.46                           0.9998          0.002613                  10.73            34.38   4122  -1965 -121.1                         1.36                   33.48     -2.074e-15
  600  NaN            1   0.99     0.01       True         132     wegstein         47.4                 11.46                                     11.46                           0.9999          0.001307                  10.74            34.38   4122  -2026 -61.73                         1.36                   66.36     -3.687e-15
  650  NaN         0.35      0        1       True           1 once-through        36.33                 1.476                                     1.349                           0.1288             11.07                   7.94            29.61   3031 -196.4  -1479                            1                     NaN      9.219e-16
  650  NaN         0.35    0.9      0.2       True          27       direct        47.05                 11.14                                     11.14                           0.9716            0.3503                  10.67            34.01   4092 -222.1  -1804                         1.35                   1.321      1.041e-10
  650  NaN         0.35    0.9      0.1       True          25       direct        47.22                  11.3                                      11.3                           0.9857            0.1759                   10.7             34.2   4107 -210.5  -1822                        1.355                   1.334      1.311e-10
  650  NaN         0.35    0.9     0.05       True          26       direct        47.31                 11.38                                     11.38                           0.9929           0.08808                  10.72            34.29   4115 -204.7  -1831                        1.358                   1.341      1.308e-10
  650  NaN         0.35    0.9     0.02       True          27       direct        47.36                 11.43                                     11.43                           0.9971           0.03525                  10.73            34.35   4119 -201.3  -1836                        1.359                   1.345      9.284e-11
  650  NaN         0.35    0.9     0.01       True          25       direct        47.38                 11.45                                     11.45                           0.9986           0.01763                  10.73            34.37   4121 -200.1  -1838                         1.36                   1.347      1.285e-10
  650  NaN         0.35   0.95      0.2       True          24       direct        47.22                  11.3                                      11.3                           0.9858            0.1749                   10.7             34.1   4107 -286.9  -1746                        1.355                   1.323      5.425e-11
  650  NaN         0.35   0.95      0.1       True          21       direct        47.31                 11.38                                     11.38                            0.993           0.08567                  10.72            34.25   4115 -284.3  -1753                        1.358                   1.336      8.115e-11
  650  NaN         0.35   0.95     0.05       True          22       direct        47.36                 11.42                                     11.42                           0.9966           0.04235                  10.73            34.32   4118 -283.3  -1755                        1.359                   1.342      4.863e-11
  650  NaN         0.35   0.95     0.02       True          22       direct        47.38                 11.45                                     11.45                           0.9986           0.01682                  10.73            34.36   4121 -282.7  -1757                         1.36                   1.346      5.073e-11
  650  NaN         0.35   0.95     0.01       True          21       direct        47.39                 11.45                                     11.46                           0.9993          0.008391                  10.73            34.37   4121 -282.6  -1757                         1.36                   1.348      4.263e-11
