case,config,y_CH4_biogas,h_H2_to_CFR,CO2_carbon_fixed_fraction,C_total_tpd,heat_recovery_fraction,boundary,power_source,aux_power_kW,H2_exportable_tpd,H2_burned_for_heat_tpd,H2_after_heat_tpd,H2_for_auxiliaries_tpd,H2_net_final_tpd,self_sufficient,heat_recovery_required_for_zero_net,grid_cost_usd_y_at_0p06,grid_cost_usd_y_at_0p04,grid_cost_usd_y_at_0p08
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.25,excl. upgrading (submitted boundary),H2 engine 0.40,1392.8493164669785,4.802755435542439,2.900422957019222,1.902332478523217,2.508132022449541,-0.6057995439263242,False,0.47359784115678144,661881.9951851082,441254.6634567388,882509.3269134776
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.25,excl. upgrading (submitted boundary),fuel cell 0.50,1392.8493164669785,4.802755435542439,2.900422957019222,1.902332478523217,2.006505617959633,-0.10417313943641604,False,0.28844982935038294,661881.9951851082,441254.6634567388,882509.3269134776
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.25,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2557.116182597586,4.802755435542439,2.900422957019222,1.902332478523217,4.604650989071283,-2.702318510548066,False,1.2474134037150117,1215141.6099703729,810094.4066469152,1620188.8132938305
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.25,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2557.116182597586,4.802755435542439,2.900422957019222,1.902332478523217,3.6837207912570267,-1.7813883127338097,False,0.9075022793969673,1215141.6099703729,810094.4066469152,1620188.8132938305
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.25,incl. upgrading (high 0.45),H2 engine 0.40,3488.529675502072,4.802755435542439,2.900422957019222,1.902332478523217,6.281866162368678,-4.379533683845461,False,1.8664658537615963,1657749.3017985846,1105166.2011990566,2210332.402398113
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.25,incl. upgrading (high 0.45),fuel cell 0.50,3488.529675502072,4.802755435542439,2.900422957019222,1.902332478523217,5.025492929894942,-3.1231604513717253,False,1.4027442394342349,1657749.3017985846,1105166.2011990566,2210332.402398113
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.5,excl. upgrading (submitted boundary),H2 engine 0.40,1392.8493164669785,4.802755435542439,2.2230913459533173,2.5796640895891216,2.508132022449541,0.07153206713958049,True,0.47359784115678144,661881.9951851082,441254.6634567388,882509.3269134776
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.5,excl. upgrading (submitted boundary),fuel cell 0.50,1392.8493164669785,4.802755435542439,2.2230913459533173,2.5796640895891216,2.006505617959633,0.5731584716294886,True,0.28844982935038294,661881.9951851082,441254.6634567388,882509.3269134776
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.5,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2557.116182597586,4.802755435542439,2.2230913459533173,2.5796640895891216,4.604650989071283,-2.0249868994821614,False,1.2474134037150117,1215141.6099703729,810094.4066469152,1620188.8132938305
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.5,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2557.116182597586,4.802755435542439,2.2230913459533173,2.5796640895891216,3.6837207912570267,-1.104056701667905,False,0.9075022793969673,1215141.6099703729,810094.4066469152,1620188.8132938305
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.5,incl. upgrading (high 0.45),H2 engine 0.40,3488.529675502072,4.802755435542439,2.2230913459533173,2.5796640895891216,6.281866162368678,-3.702202072779556,False,1.8664658537615963,1657749.3017985846,1105166.2011990566,2210332.402398113
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,0.9032413253041728,57.5550234782261,0.5,incl. upgrading (high 0.45),fuel cell 0.50,3488.529675502072,4.802755435542439,2.2230913459533173,2.5796640895891216,5.025492929894942,-2.4458288403058206,False,1.4027442394342349,1657749.3017985846,1105166.2011990566,2210332.402398113
