feed_case,phi_meth_to_rwgs_inlet_rate_ratio,k2_uncalibrated_mol_m3_s,tau_s,X_CO2_kinetic,X_CO2_gibbs_equilibrium,X_CO2_rwgs_only_equilibrium,approach_to_gibbs,xi1_RWGS_kmol_d,xi2_CO2_methanation_kmol_d,CO_out_kmol_d,CH4_out_kmol_d,H2O_out_kmol_d,H2_out_kmol_d,CO2_out_kmol_d,Q_RWGS_kW,Q_meth_kW,Q2_total_kinetic_kW,Q2_gibbs_equilibrium_kW
B_kin_chain,0.0,0.0,0.1,0.04266469913879123,0.8182836903147935,0.756497637044892,0.052139251513589537,40.71706614168075,0.0,40.71706614168075,1246.7756153313662,40.71706614168075,4699.649922979931,913.6331803987996,16.621200646021133,-0.0,16.621200646021133,1234.5743847839083
B_kin_chain,0.0,0.0,0.3,0.1214544370285765,0.8182836903147935,0.756497637044892,0.1484258313664458,115.91007192165709,0.0,115.91007192165709,1246.7756153313662,115.91007192165709,4624.456917199956,838.4401746188231,47.31589834102611,-0.0,47.31589834102611,1234.5743847839083
B_kin_chain,0.0,0.0,0.5,0.1921363704361847,0.8182836903147935,0.756497637044892,0.23480410609463556,183.36539249516605,0.0,183.36539249516605,1246.7756153313662,183.36539249516605,4557.001596626446,770.9848540453145,74.851979010312,-0.0,74.851979010312,1234.5743847839083
B_kin_chain,0.0,0.0,1.0,0.33793609431046867,0.8182836903147935,0.756497637044892,0.4129815836613641,322.50939492012276,0.0,322.50939492012276,1246.7756153313662,322.50939492012276,4417.8575942014895,631.8408516203576,131.65224980949364,-0.0,131.65224980949364,1234.5743847839083
B_kin_chain,0.0,0.0,2.0,0.5290516474937608,0.8182836903147935,0.756497637044892,0.6465381795526619,504.90057021831797,0.0,504.90057021831797,1246.7756153313662,504.90057021831797,4235.466418903296,449.4496763221624,206.10654153439776,-0.0,206.10654153439776,1234.5743847839083
B_kin_chain,0.0,0.0,3.0,0.6341405139925659,0.8182836903147935,0.756497637044892,0.7749641371302564,605.1921558701123,0.0,605.1921558701123,1246.7756153313662,605.1921558701123,4135.174833251501,349.1580906703682,247.0467841939657,-0.0,247.0467841939657,1234.5743847839083
B_kin_chain,0.0,0.0,5.0,0.7215771813730576,0.8182836903147935,0.756497637044892,0.8818178706402752,688.6373609413628,0.0,688.6373609413628,1246.7756153313662,688.6373609413628,4051.729628180251,265.71288559911795,281.1101298095735,-0.0,281.1101298095735,1234.5743847839083
B_kin_chain,0.0,0.0,10.0,0.7550091893661619,0.8182836903147935,0.756497637044892,0.922674126714795,720.5432060119256,0.0,720.5432060119256,1246.7756153313662,720.5432060119256,4019.823783109689,233.80704052855558,294.13448305873413,-0.0,294.13448305873413,1234.5743847839083
B_kin_chain,0.0,0.0,30.0,0.7564976321965526,0.8182836903147935,0.756497637044892,0.9244931081365293,721.9637017940705,0.0,721.9637017940705,1246.7756153313662,721.9637017940705,4018.4032873275423,232.38654474641075,294.71434667979423,-0.0,294.71434667979423,1234.5743847839083
B_kin_chain,0.0,0.0,100.0,0.7564976370448504,0.8182836903147935,0.756497637044892,0.9244931140614888,721.9637064210447,0.0,721.9637064210447,1246.7756153313662,721.9637064210447,4018.403282700568,232.3865401194366,294.7143485685813,-0.0,294.7143485685813,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,0.1,0.043073741749193095,0.8182836903147935,0.756497637044892,0.05263913024176571,40.70597989137451,0.4014561663886582,40.70597989137451,1247.177071497755,41.50889222415252,4698.055184564682,913.242810482717,16.616675104074893,-0.8791869791101615,15.737488124964733,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,0.3,0.12251935068123643,0.8182836903147935,0.756497637044892,0.14972723045977276,115.81745652208716,1.1089160065295915,115.81745652208716,1247.8845313378959,118.03528853514723,4620.113868573406,837.4238740118628,47.27809161070309,-2.4285204599990906,44.849571150704,1234.5743847839083
