case_id,value_type,stream,species,kmol_d,t_d
kin_tau1-taustar_phi-1_T3-650,kinetic,cfr_feed,CH4,568.4771764408451,9.120079341640478
kin_tau1-taustar_phi-1_T3-650,kinetic,cfr_feed,CO,501.48203015878704,14.046511664747625
kin_tau1-taustar_phi-1_T3-650,kinetic,cfr_feed,CO2,264.7327721092741,11.650624567757044
kin_tau1-taustar_phi-1_T3-650,kinetic,cfr_feed,H2O,43.88764593518124,0.7906359415222901
kin_tau1-taustar_phi-1_T3-650,kinetic,stage3_out,H2,1818.3045270747393,3.6657019265826745
kin_tau1-taustar_phi-1_T3-650,kinetic,stage3_out,CH4,571.0811215776766,9.161854433470666
kin_tau1-taustar_phi-1_T3-650,kinetic,stage3_out,CO,499.4855544063848,13.990590378922835
kin_tau1-taustar_phi-1_T3-650,kinetic,stage3_out,CO2,264.12530272484685,11.623890447617786
kin_tau1-taustar_phi-1_T3-650,kinetic,stage3_out,H2O,47.09906045643898,0.8484895741227482
kin_tau1-taustar_phi-1_T3-800,kinetic,stage1_out,H2,5223.234755447472,10.530041266982103
kin_tau1-taustar_phi-1_T3-800,kinetic,stage1_out,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-1_T3-800,kinetic,stage1_out,C(s),2611.617377723736,31.36813632383979
kin_tau1-taustar_phi-1_T3-800,kinetic,stage2_feed,H2,6473.234755447472,13.050041266982104
kin_tau1-taustar_phi-1_T3-800,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-taustar_phi-1_T3-800,kinetic,stage2_feed,CH4,380.3417321684257,6.1018224091780535
kin_tau1-taustar_phi-1_T3-800,kinetic,stage2_out,H2,5219.21094819901,10.521929271569205
