case,value_type,stream,species,kmol_d,t_d
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,H2,8439.99971749395,17.015039430467805
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,H2O,1523.6079419954376,27.44779707504781
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,total,49190.09332339047,1297.4690093005197
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,CH4,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,CO2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,CO,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,H2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,H2O,1447.4275448956657,26.07540722129542
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,total,1447.4275448956657,26.07540722129542
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,CH4,489.5389037741429,7.853672633248574
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,CO2,10008.789387499208,440.47681215445266
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,CO,28728.15737262773,804.6756880073027
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,H2,8439.99971749395,17.015039430467805
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,H2O,76.18039709977188,1.3723898537523906
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,total,47742.665778494804,1271.3936020792241
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,membrane permeate (H2 export),CH4,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,membrane permeate (H2 export),CO2,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,membrane permeate (H2 export),CO,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,membrane permeate (H2 export),H2,4219.999858746975,8.507519715233903
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,membrane permeate (H2 export),H2O,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,membrane permeate (H2 export),other,0.0,0.0
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,membrane permeate (H2 export),total,4219.999858746975,8.507519715233903
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S3 inlet (membrane retentate),CH4,489.5389037741429,7.853672633248574
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S3 inlet (membrane retentate),CO2,10008.789387499208,440.47681215445266
