case,y_CH4_biogas,raw_biogas_Nm3_d,Q_H_min_kW,Q_C_min_kW,Q3_kW,plateau_650K_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,aux_excl_upgrading_kW,upgrading_membrane_el_kW,upgrading_amine_el_kW,upgrading_amine_heat_kW,CO2_carbon_fixed_fraction,C_total_tpd,option,power_source,reboiler,heat_to_amine_kW,heat_available_at_reboiler_kW,heat_to_power_kW,bottoming_power_kW,electricity_demand_kW,residual_electricity_kW,H2_net_final_tpd,heat_shortfall_kW
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(iii) amine upgrading, reboiler 120 C (base), bottoming eta 0.25 on remaining heat",fuel cell 0.50,120 C (base),2561.387105487337,3362.8006693393227,801.4135638519856,200.3533909629964,1585.89550555025,1385.5421145872535,-1.0913807440558956,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(ii) amine upgrading, reboiler 160 C (conservative), no bottoming",fuel cell 0.50,160 C (conservative),2561.387105487337,3335.643435358526,0.0,0.0,1585.89550555025,1585.89550555025,-1.3800050767756984,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(iii) amine upgrading, reboiler 160 C (conservative), bottoming eta 0.20 on remaining heat",fuel cell 0.50,160 C (conservative),2561.387105487337,3335.643435358526,774.2563298711889,154.85126597423778,1585.89550555025,1431.0442395760122,-1.156930023751586,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(iii) amine upgrading, reboiler 160 C (conservative), bottoming eta 0.25 on remaining heat",fuel cell 0.50,160 C (conservative),2561.387105487337,3335.643435358526,774.2563298711889,193.56408246779722,1585.89550555025,1392.3314230824526,-1.1011612604955583,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(ii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), no bottoming",fuel cell 0.50,"90 C (vacuum option, +0.05 kWh/Nm3)",2561.387105487337,3383.8105971336627,0.0,0.0,1818.7488787763714,1818.7488787763714,-1.715448111435177,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(iii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), bottoming eta 0.20 on remaining heat",fuel cell 0.50,"90 C (vacuum option, +0.05 kWh/Nm3)",2561.387105487337,3383.8105971336627,822.4234916463256,164.48469832926514,1818.7488787763714,1654.2641804471064,-1.4784953647423587,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(iii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), bottoming eta 0.25 on remaining heat",fuel cell 0.50,"90 C (vacuum option, +0.05 kWh/Nm3)",2561.387105487337,3383.8105971336627,822.4234916463256,205.6058729115814,1818.7488787763714,1613.14300586479,-1.4192571780691532,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,ref: upgrading outside boundary,H2 engine 0.40,,0.0,,0.0,0.0,980.476735162334,980.476735162334,-0.860966056467416,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"ref: upgrading outside boundary, bottoming eta 0.20",H2 engine 0.40,,0.0,,3170.825900152088,634.1651800304176,980.476735162334,346.3115551319164,0.2809880492296142,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"ref: upgrading outside boundary, bottoming eta 0.25",H2 engine 0.40,,0.0,,3170.825900152088,792.706475038022,980.476735162334,187.77026012431202,0.5664765756538718,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(i) membrane upgrading , no bottoming",H2 engine 0.40,,0.0,,0.0,0.0,2144.7436012929415,2144.7436012929415,-2.9574850230891583,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(i) membrane upgrading, all plateau to power eta 0.20",H2 engine 0.40,,0.0,,3170.825900152088,634.1651800304176,2144.7436012929415,1510.578421262524,-1.8155309173921284,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(i) membrane upgrading, all plateau to power eta 0.25",H2 engine 0.40,,0.0,,3170.825900152088,792.706475038022,2144.7436012929415,1352.0371262549197,-1.5300423909678704,
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(ii) amine upgrading, reboiler 120 C (base), no bottoming",H2 engine 0.40,120 C (base),2561.387105487337,3362.8006693393227,0.0,0.0,1585.89550555025,1585.89550555025,-1.9511559191107222,0.0
2b_y0.60 eq recycle h=0.5,0.6,111769.61914853833,4163.551402335632,5078.175122294535,-3170.825900152088,3170.825900152088,4.432782518821553,3.5281842262571557,0.9045982925643976,980.476735162334,1164.2668661306077,605.418770387916,2561.387105487337,0.9481214692784142,58.648211192612344,"(iii) amine upgrading, reboiler 120 C (base), bottoming eta 0.20 on remaining heat",H2 engine 0.40,120 C (base),2561.387105487337,3362.8006693393227,801.4135638519856,160.28271277039713,1585.89550555025,1425.6127927798527,-1.6625315863909194,0.0
