config,scenario,gate_share,carbon_revenue,gate_revenue,water_revenue,H2_export_tpd,H2_revenue,credit_revenue,electricity_cost,dac_opex,grid_kW,yield_basis,credits,purchased_MUSD,FCI_MUSD,C_tpd,water_tpd,CO2_fixed_tpd,aux_kW,H2_fired_tpd,fixed_OM,catalyst_membrane_replacement,annual_cash_flow,NPV_MUSD,IRR,discounted_payback_y,simple_payback_y
X4-ORC,Base,0.0,4231533.239596973,0.0,6926.5449744927955,5.77962140776098,5721825.193683371,0.0,405078.7844195738,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,6586222.840850906,4.683157471396312,0.09033039410660512,16.94618582369499,9.107093805929903
X4-ORC,Base,0.5,4231533.239596973,1980000.0,6926.5449744927955,5.77962140776098,5721825.193683371,0.0,405078.7844195738,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,8566222.840850906,24.123089338145903,0.13053852064718102,10.680827597549982,7.002076685694675
X4-ORC,Base,1.0,4231533.239596973,3960000.0,6926.5449744927955,5.77962140776098,5721825.193683371,0.0,405078.7844195738,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,10546222.840850906,43.56302120489552,0.16794280316636367,7.890486489410451,5.687472201521188
X4-ORC,Opportunity,0.0,8463066.479193946,0.0,13853.089948985591,5.77962140776098,9536375.322805617,0.0,270052.5229463825,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,14774259.016017811,85.07450361671228,0.2431442165081324,5.106550606933002,4.059854993293223
X4-ORC,Opportunity,0.0,8463066.479193946,0.0,13853.089948985591,5.77962140776098,9536375.322805617,34531.151058978074,270052.5229463825,0.0,852.43851940146,kinetic,True,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,14808790.16707679,85.41353554795822,0.24374295834985965,5.091528026745006,4.050388219541332
X4-ORC,Opportunity,0.5,8463066.479193946,3300000.0,13853.089948985591,5.77962140776098,9536375.322805617,0.0,270052.5229463825,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,18074259.016017813,117.47439006129497,0.29973940782538644,4.009520403658893,3.3186062668035534
X4-ORC,Opportunity,0.5,8463066.479193946,3300000.0,13853.089948985591,5.77962140776098,9536375.322805617,34531.151058978074,270052.5229463825,0.0,852.43851940146,kinetic,True,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,18108790.167076793,117.81342199254092,0.3003264029096686,4.000222262709833,3.3122781083099717
X4-ORC,Opportunity,1.0,8463066.479193946,6600000.0,13853.089948985591,5.77962140776098,9536375.322805617,0.0,270052.5229463825,0.0,852.43851940146,kinetic,False,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,21374259.016017813,149.87427650587765,0.355536239963693,3.3117496336396317,2.8062422745713653
X4-ORC,Opportunity,1.0,8463066.479193946,6600000.0,13853.089948985591,5.77962140776098,9536375.322805617,34531.151058978074,270052.5229463825,0.0,852.43851940146,kinetic,True,16.523787668977228,59.98134923838734,36.63665142508202,27.98604030098099,2.6159962923468236,882.4290616461005,3.1464724746759236,2399253.9695354938,569729.3834488614,21408790.167076793,150.2133084371236,0.3561175721100658,3.305591641723011,2.8017159666793696
X4-PVaux,Conservative,0.0,3483703.758315725,0.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,0.0,0.0,0.0,equilibrium,False,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,823282.8735941612,-59.27855409628813,1.0000000000000002e-06,,81.82080408546202
X4-PVaux,Conservative,0.5,3483703.758315725,1056000.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,0.0,0.0,0.0,equilibrium,False,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,1879282.873594162,-48.910590434021664,1.0000000000000002e-06,,35.84434661421336
X4-PVaux,Conservative,1.0,3483703.758315725,2112000.0,6740.372011584181,0.9045981742519329,597034.7950062756,0.0,0.0,0.0,0.0,equilibrium,False,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,2935282.873594162,-38.54262677175522,1.0000000000000002e-06,,22.94895231844616
X4-PVaux,Base,0.0,6773868.418947243,0.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,0.0,0.0,0.0,equilibrium,False,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,4422075.489746193,-23.945077702067397,0.027459316801087222,,15.233043140819447
X4-PVaux,Base,0.5,6773868.418947243,1980000.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,0.0,0.0,0.0,equilibrium,False,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,6402075.489746192,-4.505145835317813,0.07088113232686871,23.95618214744183,10.521848237365065
X4-PVaux,Base,1.0,6773868.418947243,3960000.0,16850.93002896045,0.9045981742519329,895552.1925094135,0.0,0.0,0.0,0.0,equilibrium,False,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,8382075.489746191,14.934786031431779,0.10860749401162884,13.389526854763112,8.036394660208884
X4-PVaux,Opportunity,0.0,13547736.837894486,0.0,33701.8600579209,0.9045981742519329,1492586.987515689,0.0,0.0,0.0,0.0,equilibrium,False,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,11809829.633728672,48.588981493546946,0.16738465860257185,7.920827287449643,5.703864390632722
X4-PVaux,Opportunity,0.0,13547736.837894486,0.0,33701.8600579209,0.9045981742519329,1492586.987515689,1098610.668324852,0.0,0.0,0.0,equilibrium,True,18.55693297720773,67.36166670726405,58.64821141945664,68.08456577357758,83.2280809337009,980.476735162334,3.5281842262571557,2694466.668290562,569729.3834488614,12908440.302053526,59.37530297855675,0.1852249646510316,7.022304125112077,5.2184202840174185
