water_remove_frac,h2_to_cfr_frac,T_cfr_K,C_stage3_tpd,Recovered_water_tpd,Q3_kW,converged
0.955,0.35,700.0,0.0,10.420138505356881,-26.3663496480691,1
0.955,0.35,725.0,0.0,10.420138505356881,-68.78432980174206,1
0.955,0.35,750.0,0.14462240139677518,10.420138505356881,-123.01089167127962,1
0.955,0.4,575.0,0.0,10.420138505356881,-0.3110577558683466,1
0.955,0.4,600.0,0.0,10.420138505356881,-0.8562753849753627,1
0.955,0.4,625.0,0.0,10.420138505356881,-2.1943180079891063,1
0.955,0.4,650.0,0.0,10.420138505356881,-5.293332913139131,1
0.955,0.4,675.0,0.0,10.420138505356881,-12.171545267075786,1
0.955,0.4,700.0,1.4064140477221265e-20,10.420138505356881,-27.210875043632722,1
0.955,0.4,725.0,0.0,10.420138505356881,-62.58010815355372,1
0.955,0.4,750.0,0.00017580371530160802,10.420138505356881,-132.41028982778337,1
0.99,0.15,575.0,0.0,10.802028398223365,-0.15764952270331206,1
0.99,0.15,600.0,0.0,10.802028398223365,-0.46033291096793283,1
0.99,0.15,625.0,0.0,10.802028398223365,-1.3070890422704486,1
0.99,0.15,650.0,0.0,10.802028398223365,-4.089393850685049,1
0.99,0.15,675.0,0.0025539483881069987,10.802028398223365,-9.378509885009837,1
0.99,0.15,700.0,0.1101474876038664,10.802028398223365,-11.046923545003466,1
0.99,0.15,725.0,0.4226397049960254,10.802028398223365,-5.67812291366012,1
0.99,0.15,750.0,1.1713526900525097,10.802028398223365,16.69924720970507,1
0.99,0.2,575.0,0.0,10.802028398223365,-0.19105679345802026,1
0.99,0.2,600.0,0.0,10.802028398223365,-0.5435886650579947,1
0.99,0.2,625.0,0.0,10.802028398223365,-1.4624529726328674,1
0.99,0.2,650.0,0.0,10.802028398223365,-3.8565307763509393,1
0.99,0.2,675.0,0.0,10.802028398223365,-11.305337261937458,1
0.99,0.2,700.0,0.010587867456918119,10.802028398223365,-24.102190651050496,1
0.99,0.2,725.0,0.27611698199726126,10.802028398223365,-26.965323401436276,1
0.99,0.2,750.0,0.9679347496783555,10.802028398223365,-16.096424019932922,1
0.99,0.25,575.0,0.0,10.802028398223365,-0.22315247193795662,1
0.99,0.25,600.0,4.395043899131645e-22,10.802028398223365,-0.6266018047258589,1
0.99,0.25,625.0,0.0,10.802028398223365,-1.649384085981934,1
0.99,0.25,650.0,0.0,10.802028398223365,-4.152749731150733,1
0.99,0.25,675.0,0.0,10.802028398223365,-10.429203398390522,1
0.99,0.25,700.0,1.0081948756675037e-05,10.802028398223365,-21.00395937372596,1
0.99,0.25,725.0,0.09837179594526917,10.802028398223365,-49.96381880559109,1
0.99,0.25,750.0,0.7230107236340039,10.802028398223365,-50.76911144242039,1
0.99,0.30000000000000004,575.0,0.0,10.802028398223365,-0.2541162338754866,1
0.99,0.30000000000000004,600.0,0.0,10.802028398223365,-0.7074692762597402,1
0.99,0.30000000000000004,625.0,0.0,10.802028398223365,-1.839370742672461,1
0.99,0.30000000000000004,650.0,0.0,10.802028398223365,-4.532649828002365,1
0.99,0.30000000000000004,675.0,0.0,10.802028398223365,-10.831882611590846,1
0.99,0.30000000000000004,700.0,0.0,10.802028398223365,-26.70249111319224,1
0.99,0.30000000000000004,725.0,0.00010170776356580091,10.802028398223365,-58.08615538270279,1
0.99,0.30000000000000004,750.0,0.4450242017721657,10.802028398223365,-86.96808975401737,1
0.99,0.35,575.0,0.0,10.802028398223365,-0.28415992652327926,1
0.99,0.35,600.0,0.0,10.802028398223365,-0.7861035718833076,1
0.99,0.35,625.0,0.0,10.802028398223365,-2.026832388320499,1
0.99,0.35,650.0,0.0,10.802028398223365,-4.931357475148307,1
0.99,0.35,675.0,0.0,10.802028398223365,-11.502956175802725,1
0.99,0.35,700.0,0.0,10.802028398223365,-26.538795779964303,1
0.99,0.35,725.0,0.0,10.802028398223365,-69.05195104394453,1
0.99,0.35,750.0,0.14050760376543822,10.802028398223365,-124.26859772887617,1
0.99,0.4,575.0,0.0,10.802028398223365,-0.31342114195152565,1
0.99,0.4,600.0,0.0,10.802028398223365,-0.8626476920618834,1
0.99,0.4,625.0,0.0,10.802028398223365,-2.2103393992402816,1
0.99,0.4,650.0,0.0,10.802028398223365,-5.331262981338854,1
0.99,0.4,675.0,0.0,10.802028398223365,-12.256892137125156,1
0.99,0.4,700.0,0.0,10.802028398223365,-27.394800027185724,1
0.99,0.4,725.0,0.0,10.802028398223365,-62.94988735533008,1
0.99,0.4,750.0,3.145152833950068e-05,10.802028398223365,-133.00486595754413,1
